Point;Latitude;Longitude;Depth: average (m);Surface Sea Temp (¼C) ;Conductivity [mS/cm];Salinity [PSU];TSM [mg/L];NO3- (umol/L);PO43- (umol/L);CH4 rep 1 (nmol/l);CH4 rep 2 (nmol/l);Saturation CH4 (%);N2O rep 1 (nmol/l);N2O rep 2 (nmol/l);Saturation N2O (%)
3;-67.81666667;-67.35111111;17;0.0;50.029;34.6;127.984;1.719;0.598;20.56545217;12.4675561;452.3832045;17.3773665;16.36685773;105.9665471
4;-67.82194444;-67.35472222;17;-0.1;49.502;34.4;73.995;1.712;0.259;5.604798837;6.161155878;160.4498918;15.52516725;17.17206597;102.2890622
5;-67.82583333;-67.34611111;17;0.3;49.200;34;65.996;1.193;0.259;14.09563255;6.650044079;290.4154696;15.43009607;16.98488537;104.3102914
6;-67.8275;-67.33333333;43.5;0.3;49.100;35.4;92.658;1.211;0.323;13.71396075;15.2899487;400.7743568;15.84783679;16.18158221;101.6274036
7;-67.82722222;-67.31972222;48.25;0.3;49.170;34.2;2977.059;0.898;0.259;9.730637372;8.973542579;256.6356498;15.63497386;17.10381555;103.3380196
8;-67.82833333;-67.30666667;41;0.4;50.100;34.6;64.996;1.160;0.356;7.173702656;12.31835304;268.9211543;14.91086532;16.5817781;100.061468
9;-67.82972222;-67.29333333;41;0.5;50.391;35.2;65.329;---;---;15.07742681;11.49500294;368.9110345;15.42343312;18.46527794;108.3019587
10;-67.82916667;-67.28;48.25;0.5;49.416;34.2;97.991;1.145;0.275;8.367810471;13.03317993;294.9804628;14.84770769;15.78459066;97.30866196
11;-67.82833333;-67.26611111;48.25;0.5;50.306;34.6;66.996;1.080;6.420;20.06291626;10.25193879;420.7577545;14.59732484;15.82094448;97.25180843
12;-67.83055556;-67.25416667;30.25;0.7;49.313;34.2;----;---;---;7.585419667;11.68515242;265.9645274;15.31270467;16.1918915;100.1052847
13;-67.83444444;-67.24555556;17;0.3;48.854;34.1;95.991;1.006;0.291;13.9537955;9.33973331;320.043493;15.42205703;14.96484752;96.0738205
14;-67.83944444;-67.24611111;17;0.5;49.954;34.6;74.328;0.455;0.243;20.05450328;16.52107584;502.1896775;15.53762075;14.02021254;93.29651233
15;-67.84305556;-67.25555556;48.25;0.1;50.000;34.5;71.328;0.861;0.420;78.12935318;92.06421991;2365.259451;15.1068959;6.553669537;70.41945016
16;-67.84666667;-67.26638889;41;-0.3;49.875;34.9;76.994;0.635;0.243;25.93323;34.14746729;826.2364981;14.61180346;5.795875746;65.47120529
17;-67.84972222;-67.27722222;41;-0.4;49.200;35.4;70.995;0.487;0.243;18.34835785;23.85949232;583.1770713;14.39751817;5.485331567;64.32704684
18;-67.85333333;-67.28694444;41;1.2;50.768;34.9;71.995;0.435;0.146;13.82634828;18.3161102;446.0473285;14.30367409;12.4992747;85.16985294
19;-67.85583333;-67.29888889;41;1.2;50.119;34.6;71.328;1.205;0.259;13.27849791;10.86345541;331.8935235;15.07595966;12.61877961;87.58913643
20;-67.85888889;-67.30916667;41;1.1;50.010;34.6;66.996;0.744;0.243;18.47638613;24.16546095;600.3432238;14.67877818;11.90767003;86.80465196
27;-67.83138889;-67.34611111;30.25;0.9;49.798;34.5;65.662;1.172;0.323;10.2624;8.436553626;259.2942829;14.37298951;11.0490811;81.30425525
28;-67.8375;-67.34611111;36.25;0.9;52.200;38.3;63.329;1.155;0.275;7.633118853;12.49830348;288.3054365;13.612024;10.71480399;79.97565216
30;-67.84944444;-67.34555556;48.25;1.0;49.984;34.6;67.662;0.449;0.226;8.388601515;14.58631099;321.0497803;13.41158727;8.432796108;70.30476286
32;-67.86083333;-67.34527778;41;1.4;---;---;97.991;0.578;0.307;10.54936812;12.45920029;325.4767164;13.54924587;8.131849582;71.41773936
1530-4;-67.84416667;-67.28;41;1.2;49.051;34.1;74.328;1.206;0.404;19.92640735;21.45460395;582.2667307;14.48655969;14.8052586;95.74885534
1530-2;-67.8475;-67.32722222;41;1.4;50.069;35;----;---;---;9.217785308;14.24472131;334.2816553;15.03773483;13.98320775;96.1668492
1530-3;-67.84555556;-67.30361111;41;1.0;49.000;33.7;88.992;1.316;0.323;11.31578427;12.54619102;332.771951;14.48773649;15.70901871;97.65638324
1328-1;-67.83527778;-67.26222222;42.25;0.4;49.919;34.5;135.982;1.040;0.323;16.29260638;12.58282005;397.6397898;14.75894915;10.77272065;80.91194267
1328-2;-67.83666667;-67.27888889;41;0.6;51.000;36.9;71.328;1.297;0.518;10.21197049;15.80650256;366.7942703;15.35581732;9.1962626;79.60098262
1328-3;-67.83722222;-67.30138889;41;0.7;49.200;33.7;103.323;1.288;0.307;19.09176593;16.61797262;493.4567924;14.81847861;9.412429336;77.38818702
1328-4;-67.83805556;-67.32444444;41;0.6;49.800;36.2;68.329;1.029;0.340;9.841814863;15.59077836;356.7315331;13.45925789;9.081995729;72.77517534
0619-1;-67.84111111;-67.31555556;41;1.4;50.366;35.2;71.995;1.202;0.663;17.01922155;13.56334167;436.3485926;15.51090646;16.99139324;107.8315289
0817-1;-67.84222222;-67.28666667;41;1.1;49.343;34.2;78.661;0.366;0.194;15.28548048;12.80837385;394.3925765;15.23255551;13.24249358;92.74892067
0817-2;-67.83527778;-67.29666667;41;0.7;50.826;35.3;98.657;0.886;0.291;12.60058198;14.13672263;373.7501588;13.56258799;13.33392524;86.72985718
60;-67.82083333;-67.38472222;17;1.0;---;---;----;0.461;0.210;13.90945806;8.987536092;320.0031221;14.05641697;7.469640626;69.74037104
61;-67.87166667;-67.34555556;41;1.4;---;---;----;0.333;0.162;10.63440288;17.50052836;397.9936896;13.98310344;6.755434547;68.31294591
